Product,Price,Description,Url
"
Kingston 8GB (1 x 8GB) DDR4 2400MHz, SO-DIMM, CL17, 1.20V
","38,00 
                                        ",,jimms.fi/fi/Product/Show/128906/kcp424ss8-8/kingston-8gb-1-x-8gb-ddr4-2400mhz-so-dimm-cl17-1_20v
"
Kingston 32GB (2 x 16GB) HyperX Predator RGB, DDR4 3200MHz, CL16, musta
","176,00 
                                        ","Metsästä saalistasi tyrmäävän upean RGB-tyylin siivittämänä!  
                                        ",jimms.fi/fi/Product/Show/148826/hx432c16pb3ak2-32/kingston-32gb-2-x-16gb-hyperx-predator-rgb-ddr4-3200mhz-cl16-musta
"
G.Skill 32GB (2 x 16GB) Trident Z Neo DDR4 3200MHz, CL14, 1.35V, musta/hopea
","299,00 
                                        ","AMD Ryzen 3000 -sarjan prosessoreille ja AMD X570 -piirisarjan emolevyille optimoitu muistikitti!  
                                        ",jimms.fi/fi/Product/Show/152659/f4-3200c14d-32gtzn/g-skill-32gb-2-x-16gb-trident-z-neo-ddr4-3200mhz-cl14-1_35v-musta-hopea
"
Corsair 8GB (2x4GB) Vengeance LPX, DDR4 2666MHz, CL16, 1,20V, musta
","49,00 
                                        ",,jimms.fi/fi/Product/Show/132238/cmk8gx4m2a2666c16/corsair-8gb-2x4gb-vengeance-lpx-ddr4-2666mhz-cl16-1_20v-musta
"
Corsair 64GB (2 x 32GB) Vengeance LPX, DDR4 3600MHz, CL18, 1.35V, musta
","316,00 
                                        ","Muistipuoli kuntoon Corsairin avulla!  
                                        ",jimms.fi/fi/Product/Show/158028/cmk64gx4m2d3600c18/corsair-64gb-2-x-32gb-vengeance-lpx-ddr4-3600mhz-cl18-1_35v-musta
"
Corsair 16GB (2 x 8GB) Vengeance RGB PRO, DDR4 3600MHz, CL18, 1.35V, valkoinen
","101,00 
                                        ","Tyrmäävä RGB-valaisu, iskevä design ja ylivertainen ylikellotus samassa paketissa!  
                                        ",jimms.fi/fi/Product/Show/160757/cmw16gx4m2d3600c18w/corsair-16gb-2-x-8gb-vengeance-rgb-pro-ddr4-3600mhz-cl18-1_35v-valkoinen
"
Corsair 64GB (2 x 32GB) Vengeance RGB Pro, DDR4 3600MHz, CL18, 1.35V, musta
","336,00 
                                        ","Tyrmäävä RGB-valaisu, iskevä design ja ylivertainen ylikellotus samassa paketissa!  
                                        ",jimms.fi/fi/Product/Show/160097/cmw64gx4m2d3600c18/corsair-64gb-2-x-32gb-vengeance-rgb-pro-ddr4-3600mhz-cl18-1_35v-musta
"
Kingston 32GB (2 x 16GB) HyperX FURY DDR4, 3200MHz, CL16, 1.35V, musta
","133,00 
                                        ","Vapauta tyylisi. Vapauta FURYsi.  
                                        ",jimms.fi/fi/Product/Show/163932/hx432c16fb4k2-32/kingston-32gb-2-x-16gb-hyperx-fury-ddr4-3200mhz-cl16-1_35v-musta
"
Kingston 8GB (1x8GB) HyperX Predator, DDR4 3000MHz, CL15, 1.35V
","47,00 
                                        ",,jimms.fi/fi/Product/Show/131339/hx430c15pb3-8/kingston-8gb-1x8gb-hyperx-predator-ddr4-3000mhz-cl15-1_35v
"
Corsair 16GB (2 x 8GB) Vengeance, DDR3 1600MHz, CL10, 1.5V
","80,00 
                                        ",,jimms.fi/fi/Product/Show/80485/cml16gx3m2a1600c10/corsair-16gb-2-x-8gb-vengeance-ddr3-1600mhz-cl10-1_5v
"
G.Skill 16GB (2 x 8GB) Trident Z Royal, DDR4 3600MHz, CL16, 1.35V, hopea
","198,00 
                                        ","Lisää aimo annos kuninkaallista blingiä kokoonpanoosi!  
                                        ",jimms.fi/fi/Product/Show/151521/f4-3600c16d-16gtrs/g-skill-16gb-2-x-8gb-trident-z-royal-ddr4-3600mhz-cl16-1_35v-hopea
"
G.Skill 16GB (2 x 8GB) Trident Z, DDR4 3600MHz, CL16, 1.35V, musta/valkoinen
","134,00 
                                        ","Muista muistit!  
                                        ",jimms.fi/fi/Product/Show/151520/f4-3600c16d-16gtzkw/g-skill-16gb-2-x-8gb-trident-z-ddr4-3600mhz-cl16-1_35v-musta-valkoinen
"
Kingston 8GB (1x8GB) HyperX Fury, DDR4 3200MHz, CL16, 1.35V, musta
","43,00 
                                        ",,jimms.fi/fi/Product/Show/153615/hx432c16fb3-8/kingston-8gb-1x8gb-hyperx-fury-ddr4-3200mhz-cl16-1_35v-musta
"
Corsair 16GB (2x8GB) Vengeance LPX, DDR4 2400MHz, CL16, 1,20V, musta
","80,00 
                                        ",,jimms.fi/fi/Product/Show/132207/cmk16gx4m2a2400c16/corsair-16gb-2x8gb-vengeance-lpx-ddr4-2400mhz-cl16-1_20v-musta
"
Corsair 16GB (2x8GB), Vengeance LPX, DDR4 2133 MHz, CL13
","77,00 
                                        ",,jimms.fi/fi/Product/Show/115874/cmk16gx4m2a2133c13/corsair-16gb-2x8gb-vengeance-lpx-ddr4-2133-mhz-cl13
"
Corsair 16GB (2 x 8GB) Vengeance LPX, DDR4 3200MHz, CL16, 1.35V, musta
","84,00 
                                        ","Muistipuoli kuntoon Corsairin avulla!  
                                        ",jimms.fi/fi/Product/Show/153100/cmk16gx4m2e3200c16/corsair-16gb-2-x-8gb-vengeance-lpx-ddr4-3200mhz-cl16-1_35v-musta
"
Kingston 16GB (1 x 16GB) HyperX FURY DDR4, 3200MHz, CL16, 1.35V, musta
","68,00 
                                        ","Vapauta tyylisi. Vapauta FURYsi.  
                                        ",jimms.fi/fi/Product/Show/163926/hx432c16fb4-16/kingston-16gb-1-x-16gb-hyperx-fury-ddr4-3200mhz-cl16-1_35v-musta
"
G.Skill 32GB (2 x 16GB) Trident Z, DDR4 3200MHz, CL14, 1.35V, hopea/punainen
","245,00 
                                        ",,jimms.fi/fi/Product/Show/135762/f4-3200c14d-32gtz/g-skill-32gb-2-x-16gb-trident-z-ddr4-3200mhz-cl14-1_35v-hopea-punainen
"
Kingston 32GB (2 x 16GB) HyperX Impact, DDR4 SODIMM 260-pin, 2666MHz, CL15, 1.2V
","138,00 
                                        ",,jimms.fi/fi/Product/Show/126565/hx426s15ib2k2-32/kingston-32gb-2-x-16gb-hyperx-impact-ddr4-sodimm-260-pin-2666mhz-cl15-1_2v
"
Corsair 16GB (1 x 16GB) Value Select DDR4, 2400MHz, CL16, 1.20V, musta
","68,00 
                                        ",,jimms.fi/fi/Product/Show/130014/cmv16gx4m1a2400c16/corsair-16gb-1-x-16gb-value-select-ddr4-2400mhz-cl16-1_20v-musta
