Product,Price,Description,Url
"
Fractal Design Define C TG, ikkunallinen ATX -kotelo, musta
","99,90 
                                        ","Näyttävä ikkunallinen versio suositusta kestosuosikista!  
                                        ",jimms.fi/fi/Product/Show/132578/fd-ca-def-c-bk-tg/fractal-design-define-c-tg-ikkunallinen-atx-kotelo-musta
"
Lian Li LANCOOL II, ikkunallinen miditornikotelo, musta
","94,90 
                                        ","Syntynyt suoriutumaan!  
                                        ",jimms.fi/fi/Product/Show/157053/4718466009203/lian-li-lancool-ii-ikkunallinen-miditornikotelo-musta
"
Corsair iCUE 465X RGB, ikkunallinen ATX-miditornikotelo, valkoinen
","129,90 
                                        ","Näyttävä ja fiksu koteloratkaisu juuri Sinun kokoonpanollesi!  
                                        ",jimms.fi/fi/Product/Show/152419/cc-9011176-ww/corsair-icue-465x-rgb-ikkunallinen-atx-miditornikotelo-valkoinen
"
Fractal Design Define R6 USB-C - White - Tempered Glass, ikkunallinen E-ATX-tornikotelo, valkoinen
","164,90 
                                        ","Ainoastaan mielikuvituksesi on rajana!  
                                        ",jimms.fi/fi/Product/Show/144261/fd-ca-def-r6c-wt-tgc/fractal-design-define-r6-usb-c-white-tempered-glass-ikkunallinen-e-atx-tornikotelo-valkoinen
"
SilentiumPC Armis AR6X EVO TG ARGB, ikkunallinen tornikotelo, musta
","87,90 
                                        ","Olisiko Armis uusi armaasi?  
                                        ",jimms.fi/fi/Product/Show/161046/spc257/silentiumpc-armis-ar6x-evo-tg-argb-ikkunallinen-tornikotelo-musta
"
Fractal Design Meshify C Mini - Dark TG, ikkunallinen mATX-kotelo, musta
","92,90 
                                        ","Agressiivinen poseeraus Fractal Designin kotelolinjastoon! | Karkaistusta lasista valmistettu sivupaneeli  
                                        ",jimms.fi/fi/Product/Show/139438/fd-ca-mesh-c-mini-bko-tgd/fractal-design-meshify-c-mini-dark-tg-ikkunallinen-matx-kotelo-musta
"
Phanteks Eclipse P300 Tempered Glass, ikkunallinen ATX -miditornikotelo, valkoinen
","59,90 
                                        ","Budjettiluokan kotelo, joka asettaa uudet standardit!  
                                        ",jimms.fi/fi/Product/Show/140927/ph-ec300ptg-wt/phanteks-eclipse-p300-tempered-glass-ikkunallinen-atx-miditornikotelo-valkoinen
"
Fractal Design Define Nano S, mITX-kotelo, musta
","71,90 
                                        ",,jimms.fi/fi/Product/Show/117783/fd-ca-def-nano-s-bk/fractal-design-define-nano-s-mitx-kotelo-musta
"
Aerocool Cylon Mini, mATX-kotelo, musta
","39,90 
                                        ","Tyylikästä RGB-valaistusta!  
                                        ",jimms.fi/fi/Product/Show/149455/accs-pv12012-11/aerocool-cylon-mini-matx-kotelo-musta
"
Fractal Design Define 7 Black/White - Solid -miditornikotelo, musta/valkoinen
","149,90 
                                        ","Uudelleenmääriteltyä monipuolisuutta!  
                                        ",jimms.fi/fi/Product/Show/160029/fd-c-def7a-04/fractal-design-define-7-black-white-solid-miditornikotelo-musta-valkoinen
"
be quiet! Pure Base 500DX - White, ikkunallinen tornikotelo, valkoinen
","109,90 
                                        ","Poikkeuksellista ilmanvirtausta, huomattavaa hiljaisuutta.  
                                        ",jimms.fi/fi/Product/Show/161698/bgw38/be-quiet-pure-base-500dx-white-ikkunallinen-tornikotelo-valkoinen
